Табельный номер руководителя,id,Вид образования,Специальность
ОРГ1-00057,ОРГ1-00167,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов
ОРГ1-00057,ОРГ1-00486,Высшее образование,Авиационная и ракетно-космическая теплотехника
ОРГ1-00057,ОРГ1-00950,Высшее образование - бакалавриат,Технологические машины и оборудование
ОРГ1-00057,ОРГ1-00950,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов
ОРГ1-00057,ОРГ1-01039,Высшее образование,Металловедение и термическая обработка металлов
ОРГ1-00057,ОРГ1-01039,Высшее образование,экономика и управление на предприятии
ОРГ1-00057,ОРГ1-00383,Высшее образование,Инженерное дело в медико-биологической практике
ОРГ1-00057,ОРГ1-00100,Высшее образование,Машины и оборудование нефтяных и газовых промыслов
ОРГ1-00057,ОРГ1-00100,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов
ОРГ1-00901,ОРГ1-01943,Высшее образование,Машины и аппараты химических производств
ОРГ1-00901,ОРГ1-00901,Высшее образование,Судостроение и судоремонт
ОРГ1-00901,ОРГ1-00901,Повышение квалификации,
ОРГ1-00901,ОРГ1-01830,Среднее профессиональное образование,Производство электронных и электрических средств автоматизации
ОРГ1-00901,ОРГ1-01830,Высшее образование,Технология машиностроения
ОРГ1-00901,ОРГ1-01830,Переподготовка,
ОРГ1-00901,ОРГ1-01489,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов
ОРГ1-00901,ОРГ1-03011,Высшее образование,Оборудование нефтегазопереработки
ОРГ1-00420,ОРГ1-01031,Высшее образование - бакалавриат,Химическая технология
ОРГ1-00420,ОРГ1-01031,Высшее образование,Химическая технология
ОРГ1-00420,ОРГ1-03067,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ1-00420,ОРГ1-03067,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00420,ОРГ1-00420,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
ОРГ1-00420,ОРГ1-00420,Повышение квалификации,Проектирование зданий и сооружений
ОРГ1-00092,ОРГ1-00977,Высшее образование - бакалавриат,Экономика
ОРГ1-00092,ОРГ1-00977,Высшее образование,Экономика и управление на предприятии (в машиностроении)
ОРГ1-00092,ОРГ1-00977,Повышение квалификации,
ОРГ1-00092,ОРГ1-00977,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00404,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00092,ОРГ1-00404,Повышение квалификации,
ОРГ1-00092,ОРГ1-00404,Высшее образование,Строительство
ОРГ1-00092,ОРГ1-00404,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00900,Среднее профессиональное образование,Производство строительных деталей и железобетонных конструкций
ОРГ1-00092,ОРГ1-00900,Повышение квалификации,
ОРГ1-00092,ОРГ1-00900,Повышение квалификации,
ОРГ1-00092,ОРГ1-00900,Повышение квалификации,
ОРГ1-00092,ОРГ1-00900,Повышение квалификации,
ОРГ1-00092,ОРГ1-00900,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00910,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00092,ОРГ1-00910,Повышение квалификации,
ОРГ1-00092,ОРГ1-00910,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-01090,Высшее образование - бакалавриат,"Технология, оборудование и автоматизация машиностроительных производств"
ОРГ1-00092,ОРГ1-01090,Высшее образование,Технология машиностроения
ОРГ1-00092,ОРГ1-01090,Переподготовка,Основы сметного дела
ОРГ1-00092,ОРГ1-01090,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00616,Высшее образование,Авиационное приборостроение
ОРГ1-00092,ОРГ1-00616,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-01110,Высшее образование,Социология
ОРГ1-00092,ОРГ1-01110,Повышение квалификации,Ценообразование и сметное дело в строительстве
ОРГ1-00092,ОРГ1-01110,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00092,Высшее образование,Сооружение газонефтепроводов и газонефтехранилищ
ОРГ1-00092,ОРГ1-00092,Переподготовка,
ОРГ1-00092,ОРГ1-00092,Повышение квалификации,Сметное дело
ОРГ1-00092,ОРГ1-00147,Среднее профессиональное образование,Технология машиностроения
ОРГ1-00092,ОРГ1-00147,Высшее образование,Экономика и управление на предприятии (в машиностроении)
ОРГ1-00092,ОРГ1-00147,Повышение квалификации,
ОРГ1-00092,ОРГ1-00147,Повышение квалификации,
,ОРГ1-01104,Высшее образование,Филология
,ОРГ1-01104,,
,ОРГ1-01143,Высшее образование,Перевод и переводоведение
,ОРГ1-01553,Высшее образование,Филология
ОРГ1-00599,ОРГ1-03028,Среднее профессиональное образование,Делопроизводитель
ОРГ1-00599,ОРГ1-01222,Высшее образование,Менеджмент организации
ОРГ1-00599,ОРГ1-00612,Высшее образование,"Командная, тактическая, радиотехнические средства"
ОРГ1-00599,ОРГ1-01664,Повышение квалификации,Подготовка специалистов по организации перевозок автомобильным траспортом в пределах РФ
ОРГ1-00599,ОРГ1-01705,Высшее образование,Юриспруденция
ОРГ1-00599,ОРГ1-01705,Высшее образование,Финансы и кредит
ОРГ1-00599,ОРГ1-01705,"Высшее образование - специалитет, магистратура",Государственное и муниципальное управление
ОРГ1-00599,ОРГ1-00551,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00599,ОРГ1-00551,,Организация подготовки проектной документации
ОРГ1-00599,ОРГ1-00551,,"Интегрированная система менеджмента согласно стребованиям стандартов ИСО 90001:2015, ИСО 14001:2015"
ОРГ1-00599,ОРГ1-00551,,Безопасность строительства и осуществление строительного контроля
ОРГ1-00599,ОРГ1-00551,,"Безопасность строительства. Организация строительства, реконструкции и капитального ремонта"
ОРГ1-00599,ОРГ1-01537,Начальное профессиональное образование,
ОРГ1-00599,ОРГ1-01586,Среднее (полное) общее образование,
ОРГ1-00599,ОРГ1-02496,Среднее профессиональное образование,
ОРГ1-00599,ОРГ1-01494,Среднее (полное) общее образование,
ОРГ1-00599,ОРГ1-02506,Начальное профессиональное образование,
ОРГ1-00599,ОРГ1-01700,Начальное профессиональное образование,Автомеханик. Машинист крана автомобильного
ОРГ1-00599,ОРГ1-01700,Высшее образование,Агрономия
ОРГ1-00599,ОРГ1-00606,Неполное высшее образование,Экономика
ОРГ1-00599,ОРГ1-00606,Начальное профессиональное образование,Монтажник санитарно-технических систем и оборудования
ОРГ1-00599,ОРГ1-02583,"Высшее образование - специалитет, магистратура",Юриспруденция
ОРГ1-00599,ОРГ1-01242,Среднее (полное) общее образование,
ОРГ1-00599,ОРГ1-02187,"Высшее образование - специалитет, магистратура",Юриспруденция
ОРГ1-00599,ОРГ1-02786,Высшее образование,Финансы и кредит
ОРГ1-00599,ОРГ1-03213,Высшее образование,Менеджмент организации
ОРГ1-00599,ОРГ1-03213,Высшее образование - бакалавриат,Юриспруденция
ОРГ1-00599,ОРГ1-03213,Повышение квалификации,Специалист отдела кадров
ОРГ1-00599,ОРГ1-02582,Высшее образование,Юриспруденция
ОРГ1-00599,ОРГ1-00676,Высшее образование,Юриспруденция
ОРГ1-00599,ОРГ1-01791,Среднее профессиональное образование,"Строительство, эксплуатация и ремонт автомобильных дорог и аэродромов"
ОРГ1-00599,ОРГ1-01791,Высшее образование,
ОРГ1-00599,ОРГ1-03040,Высшее образование,Юриспруденция
ОРГ1-00599,ОРГ1-01145,Среднее профессиональное образование,Стандартизация и контроль качества в машиностроении
ОРГ1-00599,ОРГ1-02174,Основное общее образование,
ОРГ1-00599,ОРГ1-01306,Высшее образование,Промышленное и гражданское строительство
ОРГ1-00599,ОРГ1-00734,Высшее образование,Финансы и кредит
,ОРГ1-00599,Высшее образование,военное и административное управление
,ОРГ1-00599,Высшее образование,ГМУ
,ОРГ1-00599,Повышение квалификации,
,ОРГ1-00599,Повышение квалификации,
,ОРГ1-00599,Повышение квалификации,экологический аудит
,ОРГ1-00599,Повышение квалификации,
,ОРГ1-00599,Повышение квалификации,
,ОРГ1-01062,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01956,Высшее образование - бакалавриат,Строительство
,ОРГ1-01956,"Высшее образование - специалитет, магистратура",Строительство
,ОРГ1-03142,Неполное высшее образование,
,ОРГ1-02690,Неполное высшее образование,Промышленное и гражданское строительство
,ОРГ1-02690,Среднее общее образование,
,ОРГ1-02224,Высшее образование,Водоснабжение и водоотведение
,ОРГ1-01768,Высшее образование,Теплогазоснабжение и вентиляция
,ОРГ1-02653,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01614,Высшее образование,Машины и технология обработки металлов давлением
,ОРГ1-01632,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01714,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01709,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01709,Повышение квалификации,"Строительство, реконструкция и капитальный ремонт особо опасных, технически сложных объектов"
,ОРГ1-02498,Высшее образование,Теплогазоснабжение и вентиляция
,ОРГ1-03185,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
,ОРГ1-03185,Высшее образование - бакалавриат,Строительство
,ОРГ1-01817,Высшее образование,Гидротехническое строительство
,ОРГ1-00323,Высшее образование,Технология переработки пластических масс и платомеров
,ОРГ1-00323,Высшее образование,Оперативно-тактическая химических войск
,ОРГ1-00598,Высшее образование,
,ОРГ1-00596,Высшее образование,Международные отношения
,ОРГ1-00596,Высшее образование,Политология
,ОРГ1-01754,Среднее профессиональное образование,Автоматизированные системы обработки информации и управления (в промышленности)
,ОРГ1-00920,Высшее образование,Финансы и кредит
,ОРГ1-00920,Повышение квалификации,
,ОРГ1-01589,Высшее образование,Язык и литература (немецкие)
,ОРГ1-01685,Высшее образование - бакалавриат,"Филология, английский язык и литература"
,ОРГ1-00419,Высшее образование,Учитель английского и немецкого языков по специальности филология
,ОРГ1-01396,Высшее образование,Связи с общественностью
,ОРГ1-00696,Среднее профессиональное образование,Командная радиосвязи. Иностранный язык (английский)
,ОРГ1-00696,Высшее образование,военное и административное управление
,ОРГ1-00696,,Промышленное и гражданское строительство
,ОРГ1-01651,Высшее образование,Теоретическая и прикладная лингвистика
,ОРГ1-00662,Высшее образование,Системы автоматизированного проектирования
,ОРГ1-02815,Высшее образование,Финансы и кредит
,ОРГ1-02815,Переподготовка,Сметное дело и ценообразование в строительстве
,ОРГ1-03022,Высшее образование,Охрана окружающей среды и рациональное использование природных ресурсов
,ОРГ1-02953,Высшее образование,Охрана окружающей среды и рациональное использование природных ресурсов
,ОРГ1-03023,Высшее образование,Основные процессы химических производств и химическая кибернетика
,ОРГ1-02951,Высшее образование,Ракетные двигатели
,ОРГ1-03024,Высшее образование,Химическая технология органических веществ
,ОРГ1-02954,Высшее образование,Управление и информатика в технических системах
,ОРГ1-02954,Высшее образование,Финансы и кредит
,ОРГ1-03210,Высшее образование,Менеджмент в социальной сфере
,ОРГ1-03210,Переподготовка,"Организация закупок товаров, работ, услуг отдельными видами юридических лиц"
,ОРГ1-03210,"Высшее образование - специалитет, магистратура",Нефтегазовое дело
,ОРГ1-03210,"Высшее образование - специалитет, магистратура",Юриспруденция
,ОРГ1-02550,"Высшее образование - специалитет, магистратура",Прикладные математика и физика
,ОРГ1-02525,Высшее образование,прикладная математика
,ОРГ1-02525,Высшее образование,Устный переводчик; переводчик-референт (французский язык)
,ОРГ1-02525,Высшее образование,Бухгалтерский учет и аудит
,ОРГ1-02508,Высшее образование,Экономическая кибернетика
,ОРГ1-02499,Высшее образование,Безопасность технологических процессов и производств
,ОРГ1-01413,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01922,Высшее образование,Менеджмент организации
,ОРГ1-01921,Высшее образование,Городское строительство и хозяйство
,ОРГ1-01483,Высшее образование,Автоматизация технологических процессов и производств
,ОРГ1-03192,Высшее образование,Физика и техника оптической связи
,ОРГ1-01853,Повышение квалификации,"Строительный контроль при строительстве, реконструкции, кап.ремонте объектов магистральных трубопров"
,ОРГ1-01853,Высшее образование - бакалавриат,Энергетическое машиностроение
,ОРГ1-02846,Высшее образование,"Командная тактическая, артиллерийская разведка"
,ОРГ1-02626,Высшее образование,Приборостроение
,ОРГ1-02626,Переподготовка,
,ОРГ1-02747,Начальное профессиональное образование,Топограф
,ОРГ1-02747,Высшее образование,Горные машины
,ОРГ1-02023,Высшее образование,командная военной картографии
,ОРГ1-03021,Высшее образование,Строительство
,ОРГ1-03021,Среднее профессиональное образование,Сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
,ОРГ1-02222,Высшее образование,Сельскохозяйственное строительство
,ОРГ1-02222,Повышение квалификации,
,ОРГ1-02222,Повышение квалификации,
,ОРГ1-02924,Неполное высшее образование,Нефтегазовое дело
,ОРГ1-02924,Среднее профессиональное образование,Экономика и бухгалтерский учет (по отраслям)
,ОРГ1-01342,Высшее образование,Экономика и управление на предприятии (по отраслям)
,ОРГ1-01342,Повышение квалификации,
,ОРГ1-02563,"Высшее образование - специалитет, магистратура",Оборудование и технология сварочного производства
,ОРГ1-02563,"Высшее образование - специалитет, магистратура",Менеджмент организации
,ОРГ1-02563,Повышение квалификации,Проектирование зданий и сооружений.Работы по подготовке генерального плана земельного участка
,ОРГ1-02563,Повышение квалификации,Безопасность строительства и качество выполнения общестроительных работ. Строительный контроль. Орга
,ОРГ1-01572,Среднее профессиональное образование,Эксплуатация и ремонт горного эл.механического оборудования и автом.устр.
,ОРГ1-01572,,Специалист сварочного производства
,ОРГ1-01572,Высшее образование - бакалавриат,Машиностроение
,ОРГ1-01220,Высшее образование,Машины и оборудование лесного комплекса
,ОРГ1-01220,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01332,Высшее образование,"Технология машиностроения, металлорежущие станки и инструменты"
,ОРГ1-01892,Высшее образование,Электропривод и автоматика промышленных установок и технологических комплексов
,ОРГ1-01892,Высшее образование,Экономика и управление на предприятии энергетики
,ОРГ1-01892,Переподготовка,Техносферная безопасность
,ОРГ1-02606,Высшее образование,Экология и природопользование
,ОРГ1-01647,Высшее образование,"Электрооборудование и электрохозяйство предприятий, организаций и учреждений"
,ОРГ1-01647,Высшее образование,Электроэнергктика и электротехника
,ОРГ1-02773,Высшее образование,"Вычислительные машины, комплексы, системы и сети"
,ОРГ1-01776,"Высшее образование - специалитет, магистратура","Газотурбинные, паротурбинные установки и двигатели"
,ОРГ1-02190,Начальное профессиональное образование,
,ОРГ1-02190,Высшее образование - бакалавриат,Технологические машины и оборудование
,ОРГ1-02192,Высшее образование - бакалавриат,Технологические машины и оборудование
,ОРГ1-02192,"Высшее образование - специалитет, магистратура",Технологические машины и оборудование
,ОРГ1-02527,Среднее профессиональное образование,Слесарь по контрольно-измерительным приборам и автоматике
,ОРГ1-02527,Высшее образование - бакалавриат,Строительство
,ОРГ1-01772,Высшее образование,Химическая технология органических веществ
,ОРГ1-02245,Высшее образование,Химическая технология
,ОРГ1-02245,Высшее образование,История
,ОРГ1-02940,Высшее образование,Химическая технология органических веществ
,ОРГ1-02600,Высшее образование,Промышленная электроника
,ОРГ1-03173,Высшее образование,Командная тактическая мотострелковых войск
,ОРГ1-03173,Высшее образование,химия
,ОРГ1-03173,"Высшее образование - специалитет, магистратура",Государственное и муниципальное управление
,ОРГ1-02027,Высшее образование,Строительство и эксплуатация зданий и сооружений
,ОРГ1-01755,Высшее образование,Педагогика и методика начального образования
,ОРГ1-03196,Высшее образование,"Товароведение и экспертиза товаров (товароведная оценка качества товаров на этапах товародвижения, х"
,ОРГ1-02572,"Высшее образование - специалитет, магистратура",Автоматизация технологических процессов и производств
,ОРГ1-02572,"Высшее образование - специалитет, магистратура",Менеджмент организации
,ОРГ1-03159,Среднее профессиональное образование,Токарь
,ОРГ1-03045,Среднее профессиональное образование,Техническая эксплуатация и обслуживание электрического и электромеханического оборудования
,ОРГ1-03202,Высшее образование,Оборудование нефтегазопереработки
,ОРГ1-03202,,Машины и оборудование нефтяных и газовых промыслов
,ОРГ1-03202,,Безопасность строительства и осуществление строительного контроля
,ОРГ1-03151,Среднее профессиональное образование,Менеджмент
,ОРГ1-02972,Высшее образование,Металлургия цветных металлов
,ОРГ1-03224,Высшее образование,Электрические станции
,ОРГ1-03169,Среднее общее образование,
,ОРГ1-03160,Высшее образование,История
,ОРГ1-03160,Высшее образование,Программное обеспечение вычислительной техники и автоматизированных систем
,ОРГ1-02936,Высшее образование,Технология машиностроения
,ОРГ1-02871,Среднее профессиональное образование,Мастер по лесному хозяйству
,ОРГ1-01283,Высшее образование,Автоматика и управление в технических системах
,ОРГ1-02634,Среднее профессиональное образование,"Вычислительные машины, комплексы, системы и сети"
,ОРГ1-02634,Высшее образование,Автоматизация технологических процессов и производств
,ОРГ1-02089,Высшее образование - бакалавриат,Государственное и местное управление
,ОРГ1-02089,"Высшее образование - специалитет, магистратура",Менеджмент
,ОРГ1-02089,Повышение квалификации,Промышленное и гражданское строительство
,ОРГ1-03212,Высшее образование,Эксплуатация воздушных судов и организация воздушного движения
,ОРГ1-03212,Высшее образование,Юриспруденция
,ОРГ1-03212,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-03152,Высшее образование,Автомобили и автомобильное хозяйство
,ОРГ1-01650,Высшее образование,Гидротехническое строительство водных путей и морских портов
,ОРГ1-01650,,Строительство зданий и сооружений. Специальные работы
,ОРГ1-01650,,"Организация строительства, реконструкции и капитального ремонта"
,ОРГ1-02128,Высшее образование,Промышленное и гражданское строительство
ОРГ1-02146,ОРГ1-03180,Высшее образование,"Бухгалтерский учет, анализ и аудит"
ОРГ1-02146,ОРГ1-02202,Среднее профессиональное образование,Строительство и эксплуатация зданий и сооружений
ОРГ1-02146,ОРГ1-02202,Высшее образование - бакалавриат,Строительство
ОРГ1-02146,ОРГ1-02086,Высшее образование,Планирование народного хозяйства
ОРГ1-02146,ОРГ1-02825,Высшее образование - бакалавриат,Строительство
ОРГ1-02146,ОРГ1-02146,Высшее образование - бакалавриат,Нефтегазовое дело
ОРГ1-02146,ОРГ1-02146,"Высшее образование - специалитет, магистратура",Нефтегазовое дело
ОРГ1-02146,ОРГ1-02696,Высшее образование,Математические методы и исследование операций в экономике
,ОРГ1-01071,Высшее образование,Металлургия цветных металлов
,ОРГ1-02891,Высшее образование,Машины и аппараты химических производств и предприятий строительных материалов
,ОРГ1-03170,Начальное профессиональное образование,повар-кондитер
,ОРГ1-02631,Высшее образование,Экономика и управление на предприятии (по отраслям)
,ОРГ1-02889,Среднее (полное) общее образование,
,ОРГ1-01894,Высшее образование,Финансы и кредит
,ОРГ1-01894,Повышение квалификации,
,ОРГ1-03208,Среднее (полное) общее образование,
,ОРГ1-02890,Высшее образование,Таможенное дело
,ОРГ1-02893,Среднее профессиональное образование,Менеджмент
,ОРГ1-02076,Высшее образование,Библиотековедение и библиография
,ОРГ1-02892,Высшее образование,Судовождение
,ОРГ1-02894,Высшее образование,"Бухгалтерский учет, анализ и аудит"
,ОРГ1-01630,Высшее образование,Государственное и муниципальное управление
,ОРГ1-01533,Высшее образование,Экономика и управление на предприятии (по отраслям)
,ОРГ1-02901,Высшее образование,Техническая эксплуатация авиационного радиоэлектронного оборудования
,ОРГ1-01639,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз"
,ОРГ1-01967,Высшее образование,Промышленная теплоэнергетика
,ОРГ1-01967,Аспирантура,электро- и теплотехника
,ОРГ1-03016,Начальное профессиональное образование,Организатор туризма
,ОРГ1-01742,Высшее образование,Организация перевозок и управление на транспорте (водном)
ОРГ1-00571,ОРГ1-00571,Высшее образование,Теория и методика преподавания иностранных языков и культур
,ОРГ1-00803,Высшее образование,Журналистика
,ОРГ1-01292,Высшее образование,Перевод и переводоведение
,ОРГ1-01248,Высшее образование,туризм
,ОРГ1-01168,Высшее образование,Иностранный язык (английский)
,ОРГ1-01760,Высшее образование,Гидротехническое строительство
,ОРГ1-02887,Начальное профессиональное образование,Монтажник санитарно-технических систем и оборудования
,ОРГ1-02887,Повышение квалификации,Ценообразование и сметное дело в строительстве
,ОРГ1-02887,Высшее образование,Землеустройство
,ОРГ1-01460,Высшее образование,Машины и аппараты химических производств
,ОРГ1-02855,Высшее образование,Металлургия сварочного производства
,ОРГ1-02848,Высшее образование,Финансы и кредит
,ОРГ1-02848,Высшее образование - бакалавриат,Нефтегазовое дело
,ОРГ1-03198,Высшее образование,экономика и управление на предприятии (топливно-энергетического комплекса)
,ОРГ1-02810,Высшее образование,"Проектирование, сооружение и эксплуатация г/н проводов и г/н хранилищ"
,ОРГ1-02557,"Высшее образование - специалитет, магистратура",Землеустройство и кадастры
,ОРГ1-01952,Среднее профессиональное образование,Авиационные приборы и комплексы
,ОРГ1-03174,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-03174,,
,ОРГ1-03174,,
,ОРГ1-03033,Высшее образование - бакалавриат,Реклама и связи с общественностью
,ОРГ1-02850,Среднее профессиональное образование,Техническая экксплуатация и ремонт электрооборудования
,ОРГ1-02850,Высшее образование,Внутризаводское электрооборудование
,ОРГ1-02849,Высшее образование,"Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ"
,ОРГ1-00953,Высшее образование,Механизация сельского хозяйства
,ОРГ1-00953,,Топограф при геофизических работах
,ОРГ1-00916,Высшее образование,Машины и аппараты химических производств
,ОРГ1-03222,Высшее образование,Биоэкология
,ОРГ1-01336,Высшее образование,Строительные и дорожные машины и оборудование
,ОРГ1-01336,,Обеспечение экологической безопасности общехозяйственных систем управления
,ОРГ1-01464,Высшее образование - бакалавриат,Электроэнергктика и электротехника
,ОРГ1-01057,Высшее образование,Электроснабжение
,ОРГ1-02106,Высшее образование,Менеджмент организации
,ОРГ1-02155,Среднее профессиональное образование,Машинист крана (крановщик)
,ОРГ1-02155,Повышение квалификации,
,ОРГ1-00471,,Обеспечение экологической безопасности при работах в области обращения с опасными отходами
,ОРГ1-00471,Высшее образование,"сооружение газонефтепроводов, газохранилищ и нефтебаз"
,ОРГ1-01180,Высшее образование,Комплексная защита объектов информации
,ОРГ1-01116,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01116,Повышение квалификации,
,ОРГ1-01680,Высшее образование,Бухгалтерский учет и аудит
,ОРГ1-01569,Высшее образование,Юриспруденция
,ОРГ1-01189,Среднее профессиональное образование,Организация перевозок и управление на транспорте (по видам)
,ОРГ1-01713,Повышение квалификации,Строительство и эксплуатация зданий и сооружений
,ОРГ1-01713,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01004,,
,ОРГ1-01004,Среднее профессиональное образование,Обработка материалов на станках и автоматических линиях
,ОРГ1-01629,Высшее образование,экономика и управление на предприятии металургии
,ОРГ1-02858,Высшее образование,Таможенное дело
,ОРГ1-01022,Начальное профессиональное образование,Парикмахер
,ОРГ1-01022,Высшее образование - бакалавриат,
,ОРГ1-02963,Высшее образование - бакалавриат,Автоматизация технологических процессов и производств
,ОРГ1-01202,Высшее образование,Автоматизация технологических процессов и производств
,ОРГ1-02197,"Высшее образование - специалитет, магистратура",Технологические машины и оборудование
,ОРГ1-02573,"Высшее образование - специалитет, магистратура","Подъемно-транспортные, строительные, дорожные машины и оборудование"
,ОРГ1-02574,"Высшее образование - специалитет, магистратура","Подъемно-транспортные, строительные, дорожные машины и оборудование"
,ОРГ1-02642,Высшее образование,Машины и аппараты химических производств
,ОРГ1-02642,Высшее образование,Экономика и управление на предприятии (железнодорожный транспорт)
,ОРГ1-02643,Высшее образование,Машины и аппараты химических производств
,ОРГ1-02643,Высшее образование,Экономика и управление на предприятии (железнодорожный транспорт)
,ОРГ1-02569,Среднее профессиональное образование,Контролер станочных и слесарных работ
,ОРГ1-02052,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-02053,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-02559,Неполное высшее образование,Учитель математики
,ОРГ1-02560,Неполное высшее образование,Учитель математики
,ОРГ1-01495,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01862,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01527,Высшее образование,Экономика
,ОРГ1-02568,Высшее образование,Экономика
,ОРГ1-02803,Высшее образование - бакалавриат,Строительство
,ОРГ1-02804,Высшее образование - бакалавриат,Строительство
,ОРГ1-02777,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-02778,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01870,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-01871,Высшее образование,Промышленное и гражданское строительство
,ОРГ1-02995,Высшее образование,Юриспруденция
,ОРГ1-02827,,
,ОРГ1-02765,Среднее профессиональное образование,Производство строительных изделий и конструкций
ОРГ1-01285,ОРГ1-02821,Высшее образование,Маркшейдерское дело
ОРГ1-01285,ОРГ1-02941,Высшее образование,Строительство подземных сооружений и шахт
ОРГ1-01285,ОРГ1-02941,Высшее образование,Строительство подземных сооружений и шахт
ОРГ1-01285,ОРГ1-01759,Повышение квалификации,Замерщик на топографо-геодезических и маркшейдерских работах
